recommendedVideoURL,top20,recommendedAuthor,recommendedTitle,thumbnail,step,amount,equivalent,related,unrelated
https://youtube.com/watch?v=1qtqlPIXPyI,FALSE,El Mundo,DIRECTO CORONAVIRUS: El Congreso vota la prórroga del estado de alarma,https://i.ytimg.com/vi/1qtqlPIXPyI/mqdefault.jpg,English,1,x,,
https://youtube.com/watch?v=7FEoQOurpGo,FALSE,Russell Brand,Pandemics & Infodemics - Wisdom In The Time Of Covid-19 | Russell Brand & Dr. Gabor Mate,https://i.ytimg.com/vi/7FEoQOurpGo/mqdefault.jpg,English,2,x,,
https://youtube.com/watch?v=UcM8qS0VtJk,FALSE,Russell Brand,Corona Lockdown! Can Anything Positive Come From This?! | Russell Brand,https://i.ytimg.com/vi/UcM8qS0VtJk/mqdefault.jpg,English,3,x,,
https://youtube.com/watch?v=vYu0kZrQa0Q,FALSE,SECULAR MIYA BHAI,Good News From Saudi Arabia! Kuwait Qatar Update! World News Update! Reality With Comedy,https://i.ytimg.com/vi/vYu0kZrQa0Q/mqdefault.jpg,English,6,,,x
https://youtube.com/watch?v=58S4RoBZLEI,TRUE,South China Morning Post,Chinese model becomes internet sensation with her fast posing skills,https://i.ytimg.com/vi/58S4RoBZLEI/mqdefault.jpg,English,1,,,x
https://youtube.com/watch?v=5WigPzee1Zc,TRUE,Dental News Pakistan,5 Steps to Protect Yourself From Coronavirus,https://i.ytimg.com/vi/5WigPzee1Zc/mqdefault.jpg,English,1,x,,
https://youtube.com/watch?v=9KhtGyzYWHQ,TRUE,Potential,3 Symptoms of Coronavirus disease (COVID-19),https://i.ytimg.com/vi/9KhtGyzYWHQ/mqdefault.jpg,English,1,x,,
https://youtube.com/watch?v=MbpYBSpCjjU,TRUE,Al Jazeera English,Nurses pay a heavy price as China fights coronavirus epidemic,https://i.ytimg.com/vi/MbpYBSpCjjU/mqdefault.jpg,English,1,x,,
https://youtube.com/watch?v=2p80n8LWDpM,TRUE,NBC News,Inside An Ebola Treatment Center | NBC News,https://i.ytimg.com/vi/2p80n8LWDpM/mqdefault.jpg,English,1,,x,
https://youtube.com/watch?v=v9IRtFHHUSM,FALSE,KOREA NOW,World seeks to model South Korea’s coronavirus response,https://i.ytimg.com/vi/v9IRtFHHUSM/mqdefault.jpg,English,1,x,,
https://youtube.com/watch?v=JHDkALRz5Rk,TRUE,DW Documentary,How poor people survive in the USA | DW Documentary,https://i.ytimg.com/vi/JHDkALRz5Rk/mqdefault.jpg,English,3,,x,
https://youtube.com/watch?v=HtfQzRZKNZQ,FALSE,Nine News Australia,"Coronavirus: New cases, Ruby Princess fallout, Job cuts | Nine News Australia",https://i.ytimg.com/vi/HtfQzRZKNZQ/mqdefault.jpg,English,5,x,,
https://youtube.com/watch?v=miZYWSSoYg0,FALSE,Sky News Australia,Trump says the US will be open for business ’soon’,https://i.ytimg.com/vi/miZYWSSoYg0/mqdefault.jpg,English,2,x,,
https://youtube.com/watch?v=FeIUmACQGOo,FALSE,Trung Nguyen,Lady  Kenny Rogers Lyrics,https://i.ytimg.com/vi/FeIUmACQGOo/mqdefault.jpg,English,3,,,x
